NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Locations
NCT07152639,Clinical Trial to Evaluate the Efficacy and Safety of EEC for the Diagnosis of Mycobacterium Tuberculosis Infection in People Aged 3 Years and Above,https://clinicaltrials.gov/study/NCT07152639,RECRUITING,Tuberculosis,BIOLOGICAL: 5μg/ml EEC|BIOLOGICAL: 5 unit（U） EC|BIOLOGICAL: 5 IU TB-PPD|DIAGNOSTIC_TEST: IGRA,"Chengdu CoenBiotech Co., Ltd","Beijing Chest Hospital, Capital Medical University|Wuhan Pulmonary Hospital|Changsha Central Hospital|The First Affiliated Hospital of Xinxiang Medical College|LiuZhou People's Hospital|Wuhan Central Hospital|Yichang Central People's Hospital",INTERVENTIONAL,"Beijing Chest Hospital, Beijing, Beijing Municipality, 101149, China|Changsha Center Hospital, Hunan, Changsha, 410006, China|LiuZhou People's Hospital, Liuzhou, Guangxi, China|The First Affiliated Hospital of Xinxiang Medical College, Xinxiang, Henan, China|Wuhan Pulmonary Hospital, Wuhan, Hubei, 430000, China|Wuhan Central Hospital, Wuhan, Hubei, China|Yichang Central People's Hospital, Yichang, Hubei, China|Public health clinical center of chengdu, Chengdu, Sichuan, 610066, China"
NCT07152626,Combination Approach With Ritlecitinib and nbUVB Compared to Ritlecitinib Alone for Treating Vitiligo,https://clinicaltrials.gov/study/NCT07152626,NOT_YET_RECRUITING,Vitiligo,DRUG: LITFULO|PROCEDURE: LITFULO and UVB,Centre Hospitalier Universitaire de Nice,,INTERVENTIONAL,"CHu de Nice, Hôpital Archet, Nice, Alpes-Maritime, 06200, France"
NCT07152613,Corticosteroids for PJP in Non-HIV Immunocompromised Adults,https://clinicaltrials.gov/study/NCT07152613,NOT_YET_RECRUITING,Pneumocystis Jiroveci Pneumonia,"DRUG: Saline (0.9%, sterile, for infusion)|DRUG: Low Dose Corticosteroids|DRUG: Moderate dose corticosteroids",Qingyuan Zhan,,INTERVENTIONAL,
NCT07152600,Adaptive RCT of Corticosteroids for Severe Adenovirus Pneumonia in Adults,https://clinicaltrials.gov/study/NCT07152600,NOT_YET_RECRUITING,"Adenovirus Infections, Human","DRUG: Saline (0.9%, sterile, for infusion)|DRUG: low dose Methylprednisolone|DRUG: Moderate dose Methylprednisolone",Qingyuan Zhan,,INTERVENTIONAL,
NCT07152587,Randomized Adaptive Platform Trial of Pathogen-Directed Anti-inflammatory Therapy in Severe Community-Acquired Pneumonia(Core Protocal),https://clinicaltrials.gov/study/NCT07152587,NOT_YET_RECRUITING,Severe Community-acquired Pneumonia (sCAP),DRUG: Low dose steroids|DRUG: Moderate dose steroids|DRUG: Saline (0.9% NaCl),Qingyuan Zhan,,INTERVENTIONAL,
NCT07152574,ROTAO 1 - Feasibility and Safety of the TAVIPILOT Tele-operated Robot During Transcatheter Aortic Valve Replacement (TAVR/TAVI),https://clinicaltrials.gov/study/NCT07152574,NOT_YET_RECRUITING,TAVI(Transcatheter Aortic Valve Implantation),DEVICE: TAVR using a tele-operated Robot,Caranx Medical,,INTERVENTIONAL,
NCT07152561,Different Luting Cements for Pediatric Zirconia Crowns,https://clinicaltrials.gov/study/NCT07152561,NOT_YET_RECRUITING,Dental Caries in Children,DRUG: Zirconia crown cemented with Predicta® Bioactive Cement|DRUG: Zirconia crown cemented with resin-cement,Cairo University,,INTERVENTIONAL,
NCT07152548,Task Oriented Exercises and Mirror Therapy Post Flexor Tendon Repair,https://clinicaltrials.gov/study/NCT07152548,NOT_YET_RECRUITING,Flexor Tendon Repair of Hand,OTHER: Task Oriented exercises and Mirror Therapy|OTHER: Task oriented exercises|OTHER: Mirror Therapy,Cairo University,,INTERVENTIONAL,"CairoU, Cairo, Egypt"
NCT07152535,Multi-omics Monitoring of Dynamic Evolution in Esophageal Squamous Cell Carcinoma: PKU-ESCC-Monitor,https://clinicaltrials.gov/study/NCT07152535,NOT_YET_RECRUITING,Esophageal Squamous Cell Carcinoma (ESCC),,Peking University Cancer Hospital & Institute,,OBSERVATIONAL,
NCT07152522,Association Between Neck Disability Index Categories and Multidirectional Range of Motion in Patient With Cervical Radiculopathy,https://clinicaltrials.gov/study/NCT07152522,COMPLETED,Cervical Radiculopathy,OTHER: cross sectional observational,Cairo University,,OBSERVATIONAL,"Faculty of physical therapy, Giza, Cairo University, 11432, Egypt"
NCT07152509,"The Effect of Body Weight on Physical Activity Level, Functional Capacity, Balance, and Quality of Life in Individuals With Type 2 Diabetes Mellitus",https://clinicaltrials.gov/study/NCT07152509,RECRUITING,Type 2 Diabetes Mellitus (T2DM)|Body Mass Index|Functional Capacity|Balance,OTHER: Observational Assessment,Bezmialem Vakif University,,OBSERVATIONAL,"Bezmialem Vakif University, Faculty of Health Sciences, Department of Physiotherapy and Rehabilitation, Istanbul, 34654, Turkey (Türkiye)"
NCT07152496,Host-Microbe Interactions in Biliary Dilatation,https://clinicaltrials.gov/study/NCT07152496,NOT_YET_RECRUITING,Choledochal Cyst,,Beijing Tsinghua Chang Gung Hospital,,OBSERVATIONAL,"Beijing Tsinghua Changgung Hospital, Beijing, Beijing Municipality, 102218, China"
NCT07152483,The Resistant Starch Intervention for Cognitive Enhancement,https://clinicaltrials.gov/study/NCT07152483,NOT_YET_RECRUITING,Cognitive Impairment|Diet Interventions|Cognitive Decline|Genetic Risk Factors|Obesity &Amp; Overweight,DIETARY_SUPPLEMENT: High resistant starch staple foods|DIETARY_SUPPLEMENT: Regular starch staple foods,"Second Affiliated Hospital, School of Medicine, Zhejiang University",,INTERVENTIONAL,"Second Affilated Hospital of Zhejiang University, School of Medicine, Hangzhou, Zhejiang, 310009, China"
NCT07152470,An Open Label 100 Person Study Evaluating a Natural Supplement for Weight Loss and Fat Loss.,https://clinicaltrials.gov/study/NCT07152470,ACTIVE_NOT_RECRUITING,Overweight and Obesity,BEHAVIORAL: Diet and Exercise Tracking,"Prostasis, LLC, dba Tonum Health",,OBSERVATIONAL,"Tonum Health, West Palm Beach, Florida, 33401, United States"
NCT07152457,Emergency Room Analgesia and Sedation Survey-2,https://clinicaltrials.gov/study/NCT07152457,NOT_YET_RECRUITING,Current Status of Analgesia and Sedation Cognition and Implementation,OTHER: No intervention,"Second Affiliated Hospital, School of Medicine, Zhejiang University",,OBSERVATIONAL,
NCT07152444,A Phase I Trial of QLS1410 in Healthy Chinese Adults and Participants With Mild Essential Hypertension,https://clinicaltrials.gov/study/NCT07152444,NOT_YET_RECRUITING,Uncontrolled Hypertension,DRUG: QLS1410 (CYP11B2 inhibitor)|DRUG: placebo,"Qilu Pharmaceutical Co., Ltd.",,INTERVENTIONAL,"Peking University Third Hospital, Beijing, China"
NCT07152431,Fibrosis Associated Protein Inhibitor (FAPI) Radiotracer-based Imaging to Identify Fibrotic Intestinal Crohn's Disease,https://clinicaltrials.gov/study/NCT07152431,NOT_YET_RECRUITING,Crohn Disease,,University of Edinburgh,,OBSERVATIONAL,
NCT07152418,Therapeutic Efficacy of Monoclonal Antibody Drugs for Alzheimer's Disease Based on PET Research,https://clinicaltrials.gov/study/NCT07152418,NOT_YET_RECRUITING,Alzheimer Disease (AD)|Alzheimer Dementia|Mild Cognitive Impairment (MCI),BIOLOGICAL: Lecanemab 10 mg/kg|DRUG: Conventional anti-dementia treatment group,"Second Affiliated Hospital, School of Medicine, Zhejiang University",,OBSERVATIONAL,
NCT07152405,A Study of BL-M07D1 Versus Investigator's Choice of Chemotherapy in Patients With HER2-positive Locally Advanced or Metastatic Gastric or Gastro-esophageal Junction Adenocarcinoma,https://clinicaltrials.gov/study/NCT07152405,NOT_YET_RECRUITING,Gastric or Gastro-esophageal Junction Adenocarcinoma,DRUG: BL-M07D1|DRUG: Investigator's choice of chemotherapy,"Sichuan Baili Pharmaceutical Co., Ltd.","Baili-Bio (Chengdu) Pharmaceutical Co., Ltd.",INTERVENTIONAL,"Harbin Medical University Cancer Hospital, Harbin, Heilongjiang, China|Fudan University Shanghai Cancer Center, Shanghai, Shanghai Municipality, China"
NCT07152392,Evaluation of the Efficacy and Safety Observation of IBI311 Treatment in Patients With Inactive TAO,https://clinicaltrials.gov/study/NCT07152392,RECRUITING,Thyroid Associated Ophthalmopathies,DRUG: IBI311|OTHER: Follew-up,Shanghai Changzheng Hospital,,INTERVENTIONAL,"Shanghai Changzheng Hospital, Shanghai, Shanghai Municipality, 200003, China"
NCT07152379,Challenge Transfusion of INTERCEPT Pathogen Reduced Red Blood Cells (RBCs) in Subjects With or Without Pre-existing Antibodies to INTERCEPT RBCs,https://clinicaltrials.gov/study/NCT07152379,NOT_YET_RECRUITING,"Transfusion Reaction, Hemolytic",DEVICE: INTERCEPT RBCs,Cerus Corporation,,INTERVENTIONAL,
NCT07152366,Efficacy and Safety of Sequential Hormone Therapy and Tetuzumab Therapy in Patients With Moderate to Severe TAO in the Active Stage After Glucocorticoid Treatment.,https://clinicaltrials.gov/study/NCT07152366,RECRUITING,Thyroid Associated Ophthalmopathies,DRUG: IBI311|DRUG: Glucocorticoids,Shanghai Changzheng Hospital,,INTERVENTIONAL,"Shanghai Changzheng Hospital, Shanghai, Shanghai Municipality, 200003, China"
NCT07152353,Clinical Trial of the Safety and Efficacy of IBA Proton Therapy System PROTEUS® PLUS (Sichuan),https://clinicaltrials.gov/study/NCT07152353,RECRUITING,"Solid Tumor, Adult",DEVICE: Proton Beam Therapy (PBT),Ion Beam Applications,,INTERVENTIONAL,"Sichuan Cancer Hospital & Institute, Chengdu, Sichuan, China"
NCT07152340,The Safety and Efficacy of Sequential Hormone Therapy and IBI311 Therapy in Patients With Active Moderate to Severe TAO in the Initial Treatment.,https://clinicaltrials.gov/study/NCT07152340,RECRUITING,Thyroid Associated Ophthalmopathies,DRUG: IBI311|DRUG: Glucocorticoids,Shanghai Changzheng Hospital,,INTERVENTIONAL,"Shanghai Changzheng Hospital, Changhua, Shanghai Municipality, 200003, China|Shanghai Changzheng Hospital, Shanghai, Shanghai Municipality, 200003, China"
NCT07152327,Terbinafine Hydrochloride for the Treatment of Otomycosis,https://clinicaltrials.gov/study/NCT07152327,NOT_YET_RECRUITING,Otomycosis|Fungal Ear Infection,DRUG: Terbinafine Hydrochloride Cream,Assiut University,,INTERVENTIONAL,
NCT07152314,Digital Quantification of Dental Plaque Based on Intraoral Scanner Images,https://clinicaltrials.gov/study/NCT07152314,NOT_YET_RECRUITING,Dental Plaque (Diagnosis)|Dental Plaque Imaging Methods|Dental Plaque|Gingivitis|Periodontal Disease,DIAGNOSTIC_TEST: Digital plaque quantification using intraoral scanner,University of Guarulhos,,OBSERVATIONAL,"University of Guarulhos, Guarulhos, São Paulo, 07.023-070, Brazil"
NCT07152301,"Inflammation, Epigenetics in CHF Patients With AF",https://clinicaltrials.gov/study/NCT07152301,COMPLETED,Congestive Heart Failure Chronic|Atrial Fibrillation (Permanent),,University of Palermo,,OBSERVATIONAL,"Internal Medicine and Stroke Care Ward, Policlinic Hospital of Palermo, Sicily, Palermo, PA, 90127, Italy"
NCT07152288,"Investigation of Pharmacokinetics,Safety,and Pharmacodynamics of HSK39297 in Subjects With Hepatic Impairment",https://clinicaltrials.gov/study/NCT07152288,RECRUITING,Paroxysmal Nocturnal Hemoglobinuria (PNH),DRUG: HSK39297 tablets|DRUG: HSK39297 tablets|DRUG: HSK39297 tablets,"Haisco Pharmaceutical Group Co., Ltd.",,INTERVENTIONAL,"Peking University First Hospital, Beijing, China"
NCT07152275,"Percussive Therapy in U19 Males: Flexibility, Balance, Jump",https://clinicaltrials.gov/study/NCT07152275,RECRUITING,Physical Inactivity|Postural Balance|Athletic Performance,DEVICE: Percussive Therapy,Hacettepe University,Yuksek Ihtisas University,INTERVENTIONAL,"Yuksek Ihtisas University, Ankara, Turkey (Türkiye)"
NCT07152262,"Effects of Menstrual Cycle Phases on Gait, Pelvis, and Sleep",https://clinicaltrials.gov/study/NCT07152262,RECRUITING,Menstrual Cycle|Sleep|Gait,,Hacettepe University,Yuksek Ihtisas University,OBSERVATIONAL,"Yuksek Ihtisas University, Ankara, Turkey (Türkiye)"
NCT07152249,Advancing Strategies to Optimize the PerIopeRativE Management of PostOperative Nausea and Vomiting (ASPIRE-PONV) Trial,https://clinicaltrials.gov/study/NCT07152249,NOT_YET_RECRUITING,Postoperative Nausea|Postoperative Vomiting,OTHER: AW-D Clinical Decision Support Tool,Vanderbilt University Medical Center,,INTERVENTIONAL,"Vanderbilt University Medical Center, Nashville, Tennessee, 37212, United States"
NCT07152236,Clinical Study on the Safety and Efficacy of B7H3 CAR T Cells in Patients With B7H3 Positive Solid Tumors,https://clinicaltrials.gov/study/NCT07152236,RECRUITING,Solid Tumors,BIOLOGICAL: CAR-T,"Guangzhou Bio-gene Technology Co., Ltd",,INTERVENTIONAL,"Dongguan Taixin Hospital, Dongguan, Guangdong, 523125, China"
NCT07152223,Clinical Study on the Safety and Efficacy of CD19-BCMA CAR-T Cell Therapy for Connective Tissue Diseases,https://clinicaltrials.gov/study/NCT07152223,RECRUITING,Connective Tissue Diseases,BIOLOGICAL: CAR-T,"Guangzhou Bio-gene Technology Co., Ltd",,INTERVENTIONAL,"Dongguan Taixin Hospital, Dongguan, Guangdong, 523125, China"
NCT07152210,Clinical Study on the Safety and Preliminary Efficacy of CDH17/GUCY2C CAR-T in the Treatment of Patients With Advanced Colorectal Cancer,https://clinicaltrials.gov/study/NCT07152210,RECRUITING,Colorectal Cancer (CRC),BIOLOGICAL: CAR-T,"Guangzhou Bio-gene Technology Co., Ltd",,INTERVENTIONAL,"Dongguan Taixin Hospital, Dongguan, Guangdong, 523125, China"
NCT07152197,Effects of Resistance Exercises in Hereditary Sensory-Motor Neuropathy (Charcot-Marie-Tooth Disease),https://clinicaltrials.gov/study/NCT07152197,NOT_YET_RECRUITING,Polyneuropathy|Charcot Marie Tooth Disease (CMT),OTHER: Progressive Resistance Exercise Training,Universidad de La Frontera,,INTERVENTIONAL,"Universidad de La Frontera, Temuco, La Araucanía, 4812790, Chile"
NCT07152184,Study Comparing Antipsychotic Dose Reduction vs. Maintenance Treatment in Patients With Schizophrenia Spectrum Disorder: a Personalized Medicine Approach,https://clinicaltrials.gov/study/NCT07152184,NOT_YET_RECRUITING,"Patient With Schizophrenia Spectrum Disorder|NLM Classification WM 203, Psychology:Schizophrenic Psychology|Schizophrenia Spectrum and Other Psychotic Disorders",DRUG: Use of antipsychotic treatment with marketing authorization at doses lower than those recommended: - Olanzapine - Zuclopenthixol - Risperidone - Pipotiazine palmitate / Pipotiazine - Quetiapine - Flup,"University Hospital, Strasbourg, France",,INTERVENTIONAL,
NCT07152171,Pain Neuroscience Education Delivered During Aerobic Exercise Versus Exercise Alone,https://clinicaltrials.gov/study/NCT07152171,RECRUITING,Chronic Low Back Pain,BEHAVIORAL: Pain Neuroscience Education During Aerobic Exercise|BEHAVIORAL: Aerobic Exercise Alone,University of Chile,,INTERVENTIONAL,"Hospital Clínico Universidad de Chile, Santiago, Chile"
NCT07152158,Multicomponent Training Combined With Multi-professional Intervention Health Status in Hypertensive and Normotensive Older Women,https://clinicaltrials.gov/study/NCT07152158,ACTIVE_NOT_RECRUITING,Older People,OTHER: multicomponent training combined with multi-professional intervention,Universidad Católica del Maule,University of Talca|Universidad de Los Lagos,INTERVENTIONAL,"Universidad Católica del Maule, Talca, Talca, 3465548, Chile"
NCT07152145,Pilot Study of tSCS for Improving Upper Limb Function in People With Multiple Sclerosis,https://clinicaltrials.gov/study/NCT07152145,NOT_YET_RECRUITING,Multiple Sclerosis,DEVICE: Active stimulation tSCS|DEVICE: Sham: stimulations using a non-active electric stimulation|BEHAVIORAL: Occupational/Upper Limb Rehabilitation Therapy,Parc de Salut Mar,,INTERVENTIONAL,"Hospital del Mar, Barcelona, 08003, Spain"
NCT07152132,SCTSC Versus Trabeculectomy in Medically Uncontrolled Open-Angle Glaucoma in Pseudophakic Patients,https://clinicaltrials.gov/study/NCT07152132,RECRUITING,"Glaucoma, Open Angle",PROCEDURE: Trabeculectomy|PROCEDURE: Slow coagulation trans-scleral cyclophotocoagulation,Minia University,,INTERVENTIONAL,"Minia University Hospital, Minya, 61111, Egypt"
NCT07152119,A Study to Learn About Litfulo Capsule in People With Severe Alopecia Areata in Routine Clinical Practice.,https://clinicaltrials.gov/study/NCT07152119,NOT_YET_RECRUITING,Severe Alopecia Areata,DRUG: Litfulo,Pfizer,,OBSERVATIONAL,
NCT07152106,Amniotic Fluid & the Preterm Gut,https://clinicaltrials.gov/study/NCT07152106,RECRUITING,"Chorioamnionitis|Chorioamnionitis Affecting Fetus or Newborn|Necrotizing Enterocolitis of Newborn|Neonatal Sepsis, Early-Onset|Neonatal Sepsis, Late-Onset|Fetal Growth Restriction (FGR)|Preterm Birth Complication|Prematurity Complications",,Maxima Medical Center,,OBSERVATIONAL,"Amsterdam UMC, Amsterdam, Netherlands|Máxima Medical Center, Veldhoven, Netherlands"
NCT07152093,Development of an Artificial Intelligence-Based Model for Predicting Difficult Intubation Using Video Laryngoscopic Images and Cormack-Lehane Classification,https://clinicaltrials.gov/study/NCT07152093,ACTIVE_NOT_RECRUITING,Difficult Airway Intubation,,Duzce University,,OBSERVATIONAL,"Duzce University Faculty of Medicine, Department of Anesthesiology and Reanimation, Düzce, Merkez, Turkey (Türkiye)"
NCT07152080,[Trial of device that is not approved or cleared by the U.S. FDA],https://clinicaltrials.gov/study/NCT07152080,WITHHELD,,,[Redacted],,,
NCT07152067,Stereotactic Focal Radiotherapy as an Alternative Treatment to Active Surveillance for Low and Intermediate Risk Prostate Cancer,https://clinicaltrials.gov/study/NCT07152067,NOT_YET_RECRUITING,Macroscopic Tumor Visualized at MRI|Tumor Size Allowing Partial Prostate Treatment Volume|CAPRA SCORE ≤5,RADIATION: Stereotactic Body Radiation Therapy (SBRT),Centre Hospitalier Universitaire de Liege,,INTERVENTIONAL,"Vivalia Hospitals, Arlon, 6700, Belgium|University Hospital Liège, Liège, 4000, Belgium"
NCT07152054,The Effect of Virtual Forest Bathing on Bariatric Surgery Patients,https://clinicaltrials.gov/study/NCT07152054,NOT_YET_RECRUITING,Bariatric Surgery|Virtual Reality|Anxiety,DEVICE: virtual forest bathing,Ataturk University,,INTERVENTIONAL,
NCT07152041,Newly-diagnosed Pediatric Ph-positive B-ALL Protocol,https://clinicaltrials.gov/study/NCT07152041,RECRUITING,"Acute Lymphoblastic Leukemia (ALL) Philadelphia Chromosome-positive (Ph+)|Childhood Leukemia, Acute Lymphoblastic",DRUG: olverembatinib,"Institute of Hematology & Blood Diseases Hospital, China",,INTERVENTIONAL,"Anhui Medical University Second Affiliated Hospita, Hefei, Anhui, China|Chongqing Medical University Affiliated Children's Hospital, Chongqing, Chongqing Municipality, China|Fujian Medical University Union Hospital, Fuzhou, Fujian, China|Guangzhou Women and Children's Medical Center, Guangzhou, Guangdong, China|Nanfang Hospital, Southern Medical University, Guangzhou, Guangdong, China|The First Affiliated Hospital, Sun Yat-sen University, Guangzhou, Guangdong, China|The Affiliated Hospital of Guizhou Medical University, Guiyang, Guizhou, China|Tongji Hospital of Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, China|Union Hospital of Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, China|Wuhan Children's Hospital, Wuhan, Hubei, China|Hunan Children's Hospital, Changsha, Hunan, China|The Third Xiangya Hospital of the Central South University, Changsha, Hunan, China|Nanjing Children's Hospital Affiliated to Nanjing Medical University, Nanjin, Jiangsu, China|Children's Hospital of Soochow University, Suzhou, Jiangsu, China|Jiangxi Provincial Children's Hospital, Nanchang, Jiangxi, China|Qilu Hospital of Shandong University, Jinan, Shandong, China|Affiliated Hospital of Qingdao University, Qingdao, Shandong, China|Children's Hospital of Fudan University, Shanghai, Shanghai Municipality, China|Shanghai Children's Hospital, Shanghai, Shanghai Municipality, China|Shenzhen Children's Hospital, Shenzhen, Shenzhen, China|West China Second University Hospita, Chengdu, Sichuan, China|Institute of Hematology and Blood Diseases Hospital, CAMS & PUMC, Tianjin, Tianjin Municipality, China|Institute of Hematology and Blood Diseases Hospital, CAMS & PUMC, Tianjin, Tianjin Municipality, China|Hong Kong Children's Hospital, The Chinese University of Hong Kong, Hong Kong, Hong Kong"
NCT07152028,Exercise Supervision Duration and Adherence in Obese Women,https://clinicaltrials.gov/study/NCT07152028,COMPLETED,Obesity (Disorder),OTHER: Exercise program with supervised and home-based components|OTHER: Fully supervised exercise program,Pamukkale University,,INTERVENTIONAL,"Pamukkale University, Denizli, Denizli, 20160, Turkey (Türkiye)"
NCT07152015,"Multiple Sclerosis, Sarcopenia and Respiration",https://clinicaltrials.gov/study/NCT07152015,NOT_YET_RECRUITING,Multiple Sclerosis,,Uskudar University,,OBSERVATIONAL,
NCT07152002,A Study of LY4064912 in Healthy Participants and With Overweight or Obesity,https://clinicaltrials.gov/study/NCT07152002,RECRUITING,Overweight or Obesity|Healthy,DRUG: LY4064912|DRUG: LY4064912|DRUG: Placebo|DRUG: Placebo,Eli Lilly and Company,,INTERVENTIONAL,"Collaborative Neuroscience Network - CNS, Los Alamitos, California, 90720, United States|ICON Early Phase Services, San Antonio, Texas, 78209, United States|Lilly Centre for Clinical Pharmacology, Singapore, 138623, Singapore"
NCT07151989,Influence of Original Native Mitral Valve Lesion (Stenosis or Steno-insufficiency vs. Insufficiency) on Post-implant Structural Bioprosthetic Degeneration After Mitral Valve Replacement,https://clinicaltrials.gov/study/NCT07151989,ENROLLING_BY_INVITATION,Degeneration Mitral Bioprosthesis,PROCEDURE: Mitral valve replacement,Maastricht University Medical Center,,OBSERVATIONAL,"Maastricht UMC+, Maastricht, Maastricht, Netherlands"
NCT07151976,Thrombus Aspiration and Pathology and OCT Study,https://clinicaltrials.gov/study/NCT07151976,RECRUITING,Acute Coronary Syndrome,DEVICE: PCI,Fujita Health University,Fondazione IRCCS Policlinico San Matteo di Pavia,OBSERVATIONAL,"Fujita Health University, Toyoake, Aichi-ken, 470-1192, Japan"
NCT07151963,Effects of Prolonged Continuous Theta Burst Stimulation in Chemotherapy-induced Peripheral Neuropathy,https://clinicaltrials.gov/study/NCT07151963,ENROLLING_BY_INVITATION,Breast Cancer Females,DEVICE: prolonged continuous TBS|DEVICE: 20 Hz rTMS,"Taipei Tzu Chi Hospital, Buddhist Tzu Chi Medical Foundation",,INTERVENTIONAL,"Taipei Tzu Chi Hospital, New Taipei City, Taiwan"
NCT07151950,Obi Medical Robot: Evaluating Effectiveness Related to Usability,https://clinicaltrials.gov/study/NCT07151950,ACTIVE_NOT_RECRUITING,Upper Extremity Impairments|Cerebral Palsy (CP)|ALS - Amyotrophic Lateral Sclerosis|Rett Syndrome,"DEVICE: One-week trial of Obi Medical device, which provides robotic assistance with feeding to persons with upper extremity impairments who are unable to self-feed in the traditional manner using utensils",Desin LLC,"The Driving Doctor: Adaptive Driving & Rehabilitation Solutions, PC",OBSERVATIONAL,"Desin, Llc, Jacksonville, Florida, 32256, United States"
NCT07151937,A Study of LAD191 in Adults With Hidradenitis Suppurativa,https://clinicaltrials.gov/study/NCT07151937,NOT_YET_RECRUITING,Hidradenitis Suppurativa,DRUG: LAD191|OTHER: Placebo|DRUG: Adalimumab,"Almirall, S.A.",,INTERVENTIONAL,
NCT07151924,Eating Disturbances in Patients With Type 1 Diabetes Initiating Insulin Therapy,https://clinicaltrials.gov/study/NCT07151924,NOT_YET_RECRUITING,Diabete Type 1,OTHER: Questionnaires answers|OTHER: Biological assessment,"University Hospital, Toulouse",,INTERVENTIONAL,"Diabetology, Metabolic Diseases and Nutrition Department Rangueil Hospital, Toulouse University Hospital 1 avenue du Pr Jean Poulhès, Toulouse, 31059, France"
NCT07151911,Real wOrld studY in the Adjuvant Setting for High Risk earLy Breast Cancer Patients,https://clinicaltrials.gov/study/NCT07151911,RECRUITING,Breast Cancer,"DRUG: abemaciclib, olaparib and endocrine therapy",Azienda Ospedaliero-Universitaria di Modena,,OBSERVATIONAL,"Azienda Ospedaliero Universitaria Policlinico di Modena, Modena, Modena, 41124, Italy"
NCT07151898,PET/CT for Trop2 ADC Response Evaluation NSCLC,https://clinicaltrials.gov/study/NCT07151898,RECRUITING,NSCLC|Trop2|PET/CT,DIAGNOSTIC_TEST: 68Ga-MY6349 PET/CT,The First Affiliated Hospital of Xiamen University,,OBSERVATIONAL,"The First Affiliated Hospital of Xiamen University, Xiamen, Fujian, 361000, China"
NCT07151885,The Diagnostic Value of Subharmonic Imaging Technology Combined With Liver Stiffness and Platelet Count for High-risk Esophageal and Gastric Varices in Patients With Liver Cirrhosis,https://clinicaltrials.gov/study/NCT07151885,NOT_YET_RECRUITING,Liver Cirrhosis|Esophageal and Gastric Varices,DIAGNOSTIC_TEST: SHAPE,The First Hospital of Jilin University,,INTERVENTIONAL,
NCT07151872,Combination of QLS31905 and Chemotherapy ± QL2107 in Patients With CLDN18.2-positive Advanced Biliary Tract Cancer,https://clinicaltrials.gov/study/NCT07151872,NOT_YET_RECRUITING,CLDN18.2-positive Advanced Biliary Tract Cancer,DRUG: QLS31905 for Injection|DRUG: Gemcitabine Hydrochloride for Injection|DRUG: Cisplatin for Injection|DRUG: QL2107 Injection|DRUG: Oxaliplatin Injection|DRUG: Capecitabine Tablets,"Qilu Pharmaceutical Co., Ltd.",,INTERVENTIONAL,
NCT07151859,Clinical Investigation on a Polynucleotide-based Device Used to Improve Skin Hydration,https://clinicaltrials.gov/study/NCT07151859,NOT_YET_RECRUITING,Aesthetic Improvement of the Skin|Skin Hydration in Healthy Volunteers|Skin Elasticity|Skin Turgor|Subject Satisfaction,DEVICE: PN30 (RDM16),Mastelli S.r.l,1Med,INTERVENTIONAL,
NCT07151846,Digital Phenotypes for Predicting Depression,https://clinicaltrials.gov/study/NCT07151846,ENROLLING_BY_INVITATION,Depression - Major Depressive Disorder|Depression Bipolar|Bipolar Disorder (BD)|Mood Disorders,,Korea University Anam Hospital,Korea University Medicine|Hucircadian,OBSERVATIONAL,"Korea University Anam Hospital, Seoul, Seongbuk-gu, 02841, South Korea"
NCT07151833,GlucoBites Cookies (Gynura Procumbens) for Glycemic Control and Prevention of Diabetic Foot Ulcer Risk in Type 2 Diabetes,https://clinicaltrials.gov/study/NCT07151833,NOT_YET_RECRUITING,Type 2 Diabetes Mellitus|Diabetic Neuropathy,DIETARY_SUPPLEMENT: GlucoBites (with Gynura procumbens)|DIETARY_SUPPLEMENT: Control Cookies (without Gynura procumbens),Andina Setyawati,,INTERVENTIONAL,"Public Health Centre of Campagaloe, Bantaeng, South Sulawesi, 92411, Indonesia"
NCT07151820,"A Real-world Study About the Impact of Adverse Events (AEs) on Treatment Adjustments, Healthcare Resource Use, and Costs Among Chronic Myeloid Leukemia Patients",https://clinicaltrials.gov/study/NCT07151820,COMPLETED,"Leukemia, Chronic Myeloid",,Novartis Pharmaceuticals,,OBSERVATIONAL,"Novartis, East Hanover, New Jersey, 07936, United States"
NCT07151807,Serum IGF-1 and IGF-1Ec in Malignancy Assessment,https://clinicaltrials.gov/study/NCT07151807,ACTIVE_NOT_RECRUITING,Cancer|Solid Tumor Malignancies|IGF1R|Solid Cancers,,Çanakkale Onsekiz Mart University,,OBSERVATIONAL,"Çanakkale Onsekiz Mart University, Çanakkale, 17020, Turkey (Türkiye)"
NCT07151794,"G8, CARG, Frailty, and Nutritional Markers in Predicting Chemotoxicity",https://clinicaltrials.gov/study/NCT07151794,ACTIVE_NOT_RECRUITING,Geriatric Oncology|Oncology|Nutrition|Nutrition Assessment,,Çanakkale Onsekiz Mart University,,OBSERVATIONAL,"Çanakkale Onsekiz Mart Univercity, Çanakkale, 17020, Turkey (Türkiye)"
